speech_id,transcript_id,date,year,month,speaker,party,concept_slug,concept,concept_category,mention_count,beme_positive_hits,beme_negative_hits,salience_weight,beme_score,beme_label
term_24_speech_000013,20991,2011-07-08,2011,7,Recep Tayyip Erdoğan,Adalet ve Kalkınma Partisi,interest,Faiz,macro_economy,4,4,1,5.75,0.5,positive
term_24_speech_000013,20991,2011-07-08,2011,7,Recep Tayyip Erdoğan,Adalet ve Kalkınma Partisi,security,Guvenlik,security_conflict,16,12,4,21.6,0.4706,positive
term_24_speech_000013,20991,2011-07-08,2011,7,Recep Tayyip Erdoğan,Adalet ve Kalkınma Partisi,sovereignty,Egemenlik,security_conflict,1,0,1,1.35,-0.5,negative
term_24_speech_000013,20991,2011-07-08,2011,7,Recep Tayyip Erdoğan,Adalet ve Kalkınma Partisi,constitution,Anayasa,constitutional_conflict,18,12,6,24.3,0.3158,positive
term_24_speech_000013,20991,2011-07-08,2011,7,Recep Tayyip Erdoğan,Adalet ve Kalkınma Partisi,tutelage,Vesayet,constitutional_conflict,1,1,2,2.05,-0.25,negative
term_24_speech_000014,20993,2011-07-11,2011,7,Muhammed Murtaza Yetiş,Adalet ve Kalkınma Partisi,economy,Ekonomi,macro_economy,1,1,0,1.35,0.5,positive
term_24_speech_000015,20993,2011-07-11,2011,7,Bekir Bozdağ,Adalet ve Kalkınma Partisi,european_union,Avrupa Birligi,democratic_reform,1,0,0,1.0,0.0,mixed
term_24_speech_000015,20993,2011-07-11,2011,7,Bekir Bozdağ,Adalet ve Kalkınma Partisi,economy,Ekonomi,macro_economy,2,2,0,2.7,0.6667,positive
term_24_speech_000015,20993,2011-07-11,2011,7,Bekir Bozdağ,Adalet ve Kalkınma Partisi,constitution,Anayasa,constitutional_conflict,1,1,0,1.35,0.5,positive
term_24_speech_000017,20993,2011-07-11,2011,7,Kemal Kılıçdaroğlu,Cumhuriyet Halk Partisi,democracy,Demokrasi,democratic_reform,38,13,30,53.05,-0.3864,negative
term_24_speech_000017,20993,2011-07-11,2011,7,Kemal Kılıçdaroğlu,Cumhuriyet Halk Partisi,european_union,Avrupa Birligi,democratic_reform,2,1,1,2.7,0.0,mixed
term_24_speech_000017,20993,2011-07-11,2011,7,Kemal Kılıçdaroğlu,Cumhuriyet Halk Partisi,law_state,Hukuk Devleti,democratic_reform,55,15,30,70.75,-0.3261,negative
term_24_speech_000017,20993,2011-07-11,2011,7,Kemal Kılıçdaroğlu,Cumhuriyet Halk Partisi,economy,Ekonomi,macro_economy,3,1,1,3.7,0.0,mixed
term_24_speech_000017,20993,2011-07-11,2011,7,Kemal Kılıçdaroğlu,Cumhuriyet Halk Partisi,security,Guvenlik,security_conflict,1,0,1,1.35,-0.5,negative
term_24_speech_000017,20993,2011-07-11,2011,7,Kemal Kılıçdaroğlu,Cumhuriyet Halk Partisi,sovereignty,Egemenlik,security_conflict,4,0,1,4.35,-0.5,negative
term_24_speech_000017,20993,2011-07-11,2011,7,Kemal Kılıçdaroğlu,Cumhuriyet Halk Partisi,constitution,Anayasa,constitutional_conflict,22,2,20,29.7,-0.7826,negative
term_24_speech_000017,20993,2011-07-11,2011,7,Kemal Kılıçdaroğlu,Cumhuriyet Halk Partisi,tutelage,Vesayet,constitutional_conflict,3,3,8,6.85,-0.4167,negative
term_24_speech_000018,20993,2011-07-11,2011,7,Kemal Kılıçdaroğlu,Cumhuriyet Halk Partisi,democracy,Demokrasi,democratic_reform,24,16,9,32.75,0.2692,positive
term_24_speech_000018,20993,2011-07-11,2011,7,Kemal Kılıçdaroğlu,Cumhuriyet Halk Partisi,law_state,Hukuk Devleti,democratic_reform,13,5,1,15.1,0.5714,positive
term_24_speech_000018,20993,2011-07-11,2011,7,Kemal Kılıçdaroğlu,Cumhuriyet Halk Partisi,sovereignty,Egemenlik,security_conflict,2,0,1,2.35,-0.5,negative
term_24_speech_000018,20993,2011-07-11,2011,7,Kemal Kılıçdaroğlu,Cumhuriyet Halk Partisi,constitution,Anayasa,constitutional_conflict,6,5,1,8.1,0.5714,positive
term_24_speech_000019,20993,2011-07-11,2011,7,Mahir Ünal,Adalet ve Kalkınma Partisi,democracy,Demokrasi,democratic_reform,19,7,11,25.3,-0.2105,negative
term_24_speech_000019,20993,2011-07-11,2011,7,Mahir Ünal,Adalet ve Kalkınma Partisi,reform,Reform,democratic_reform,3,0,1,3.35,-0.5,negative
term_24_speech_000019,20993,2011-07-11,2011,7,Mahir Ünal,Adalet ve Kalkınma Partisi,law_state,Hukuk Devleti,democratic_reform,8,1,3,9.4,-0.4,negative
term_24_speech_000019,20993,2011-07-11,2011,7,Mahir Ünal,Adalet ve Kalkınma Partisi,economy,Ekonomi,macro_economy,25,8,5,29.55,0.2143,positive
term_24_speech_000019,20993,2011-07-11,2011,7,Mahir Ünal,Adalet ve Kalkınma Partisi,security,Guvenlik,security_conflict,1,0,2,1.7,-0.6667,negative
term_24_speech_000019,20993,2011-07-11,2011,7,Mahir Ünal,Adalet ve Kalkınma Partisi,constitution,Anayasa,constitutional_conflict,1,0,0,1.0,0.0,mixed
term_24_speech_000019,20993,2011-07-11,2011,7,Mahir Ünal,Adalet ve Kalkınma Partisi,tutelage,Vesayet,constitutional_conflict,1,0,3,2.05,-0.75,negative
term_24_speech_000020,20993,2011-07-11,2011,7,Ömer Çelik,Adalet ve Kalkınma Partisi,democracy,Demokrasi,democratic_reform,6,0,3,7.05,-0.75,negative
term_24_speech_000020,20993,2011-07-11,2011,7,Ömer Çelik,Adalet ve Kalkınma Partisi,law_state,Hukuk Devleti,democratic_reform,18,0,3,19.05,-0.75,negative
term_24_speech_000020,20993,2011-07-11,2011,7,Ömer Çelik,Adalet ve Kalkınma Partisi,economy,Ekonomi,macro_economy,3,3,2,4.75,0.1667,mixed
term_24_speech_000020,20993,2011-07-11,2011,7,Ömer Çelik,Adalet ve Kalkınma Partisi,security,Guvenlik,security_conflict,4,0,7,6.45,-0.875,negative
term_24_speech_000020,20993,2011-07-11,2011,7,Ömer Çelik,Adalet ve Kalkınma Partisi,constitution,Anayasa,constitutional_conflict,11,0,0,11.0,0.0,mixed
term_24_speech_000020,20993,2011-07-11,2011,7,Ömer Çelik,Adalet ve Kalkınma Partisi,tutelage,Vesayet,constitutional_conflict,2,0,2,2.7,-0.6667,negative
term_24_speech_000022,20993,2011-07-11,2011,7,Ömer Çelik,Adalet ve Kalkınma Partisi,constitution,Anayasa,constitutional_conflict,1,0,0,1.0,0.0,mixed
term_24_speech_000022,20993,2011-07-11,2011,7,Ömer Çelik,Adalet ve Kalkınma Partisi,tutelage,Vesayet,constitutional_conflict,1,0,1,1.35,-0.5,negative
term_24_speech_000023,20993,2011-07-11,2011,7,Ömer Çelik,Adalet ve Kalkınma Partisi,constitution,Anayasa,constitutional_conflict,1,0,1,1.35,-0.5,negative
term_24_speech_000025,20993,2011-07-11,2011,7,Ömer Çelik,Adalet ve Kalkınma Partisi,sovereignty,Egemenlik,security_conflict,1,0,0,1.0,0.0,mixed
term_24_speech_000025,20993,2011-07-11,2011,7,Ömer Çelik,Adalet ve Kalkınma Partisi,constitution,Anayasa,constitutional_conflict,1,0,0,1.0,0.0,mixed
term_24_speech_000025,20993,2011-07-11,2011,7,Ömer Çelik,Adalet ve Kalkınma Partisi,tutelage,Vesayet,constitutional_conflict,2,0,2,2.7,-0.6667,negative
term_24_speech_000026,20993,2011-07-11,2011,7,Ömer Çelik,Adalet ve Kalkınma Partisi,democracy,Demokrasi,democratic_reform,2,0,0,2.0,0.0,mixed
term_24_speech_000029,20993,2011-07-11,2011,7,Ömer Çelik,Adalet ve Kalkınma Partisi,law_state,Hukuk Devleti,democratic_reform,2,0,0,2.0,0.0,mixed
term_24_speech_000044,20993,2011-07-11,2011,7,Ayşe Nur Bahçekapılı,Adalet ve Kalkınma Partisi,law_state,Hukuk Devleti,democratic_reform,2,0,0,2.0,0.0,mixed
term_24_speech_000045,20993,2011-07-11,2011,7,Ayşe Nur Bahçekapılı,Adalet ve Kalkınma Partisi,law_state,Hukuk Devleti,democratic_reform,1,0,0,1.0,0.0,mixed
term_24_speech_000046,20993,2011-07-11,2011,7,Recep Tayyip Erdoğan,Adalet ve Kalkınma Partisi,democracy,Demokrasi,democratic_reform,3,1,2,4.05,-0.25,negative
term_24_speech_000046,20993,2011-07-11,2011,7,Recep Tayyip Erdoğan,Adalet ve Kalkınma Partisi,law_state,Hukuk Devleti,democratic_reform,1,0,0,1.0,0.0,mixed
term_24_speech_000046,20993,2011-07-11,2011,7,Recep Tayyip Erdoğan,Adalet ve Kalkınma Partisi,sovereignty,Egemenlik,security_conflict,2,0,0,2.0,0.0,mixed
term_24_speech_000047,20993,2011-07-11,2011,7,Recep Tayyip Erdoğan,Adalet ve Kalkınma Partisi,democracy,Demokrasi,democratic_reform,3,2,0,3.7,0.6667,positive
term_24_speech_000048,20993,2011-07-11,2011,7,Recep Tayyip Erdoğan,Adalet ve Kalkınma Partisi,sovereignty,Egemenlik,security_conflict,4,0,0,4.0,0.0,mixed
term_24_speech_000051,20993,2011-07-11,2011,7,Recep Tayyip Erdoğan,Adalet ve Kalkınma Partisi,economy,Ekonomi,macro_economy,1,1,1,1.7,0.0,mixed
term_24_speech_000053,20993,2011-07-11,2011,7,Recep Tayyip Erdoğan,Adalet ve Kalkınma Partisi,democracy,Demokrasi,democratic_reform,2,3,0,3.05,0.75,positive
term_24_speech_000053,20993,2011-07-11,2011,7,Recep Tayyip Erdoğan,Adalet ve Kalkınma Partisi,law_state,Hukuk Devleti,democratic_reform,1,0,0,1.0,0.0,mixed
term_24_speech_000053,20993,2011-07-11,2011,7,Recep Tayyip Erdoğan,Adalet ve Kalkınma Partisi,sovereignty,Egemenlik,security_conflict,2,0,0,2.0,0.0,mixed
term_24_speech_000053,20993,2011-07-11,2011,7,Recep Tayyip Erdoğan,Adalet ve Kalkınma Partisi,constitution,Anayasa,constitutional_conflict,9,2,0,9.7,0.6667,positive
term_24_speech_000054,20993,2011-07-11,2011,7,Recep Tayyip Erdoğan,Adalet ve Kalkınma Partisi,democracy,Demokrasi,democratic_reform,3,6,0,5.1,0.8571,positive
term_24_speech_000054,20993,2011-07-11,2011,7,Recep Tayyip Erdoğan,Adalet ve Kalkınma Partisi,economy,Ekonomi,macro_economy,6,5,0,7.75,0.8333,positive
term_24_speech_000054,20993,2011-07-11,2011,7,Recep Tayyip Erdoğan,Adalet ve Kalkınma Partisi,inflation,Enflasyon,macro_economy,1,1,0,1.35,0.5,positive
term_24_speech_000054,20993,2011-07-11,2011,7,Recep Tayyip Erdoğan,Adalet ve Kalkınma Partisi,interest,Faiz,macro_economy,1,1,0,1.35,0.5,positive
term_24_speech_000054,20993,2011-07-11,2011,7,Recep Tayyip Erdoğan,Adalet ve Kalkınma Partisi,security,Guvenlik,security_conflict,4,5,1,6.1,0.5714,positive
term_24_speech_000054,20993,2011-07-11,2011,7,Recep Tayyip Erdoğan,Adalet ve Kalkınma Partisi,constitution,Anayasa,constitutional_conflict,2,2,1,3.05,0.25,positive
term_24_speech_000060,20993,2011-07-11,2011,7,Recep Tayyip Erdoğan,Adalet ve Kalkınma Partisi,inflation,Enflasyon,macro_economy,2,0,0,2.0,0.0,mixed
term_24_speech_000060,20993,2011-07-11,2011,7,Recep Tayyip Erdoğan,Adalet ve Kalkınma Partisi,interest,Faiz,macro_economy,7,3,0,8.05,0.75,positive
term_24_speech_000061,20993,2011-07-11,2011,7,Recep Tayyip Erdoğan,Adalet ve Kalkınma Partisi,economy,Ekonomi,macro_economy,1,0,0,1.0,0.0,mixed
term_24_speech_000063,20993,2011-07-11,2011,7,Sezgin Tanrıkulu,Cumhuriyet Halk Partisi,constitution,Anayasa,constitutional_conflict,1,0,0,1.0,0.0,mixed
term_24_speech_000064,20993,2011-07-11,2011,7,Recep Tayyip Erdoğan,Adalet ve Kalkınma Partisi,democracy,Demokrasi,democratic_reform,1,0,0,1.0,0.0,mixed
term_24_speech_000064,20993,2011-07-11,2011,7,Recep Tayyip Erdoğan,Adalet ve Kalkınma Partisi,law_state,Hukuk Devleti,democratic_reform,1,0,0,1.0,0.0,mixed
term_24_speech_000065,20993,2011-07-11,2011,7,Recep Tayyip Erdoğan,Adalet ve Kalkınma Partisi,reform,Reform,democratic_reform,1,0,0,1.0,0.0,mixed
term_24_speech_000065,20993,2011-07-11,2011,7,Recep Tayyip Erdoğan,Adalet ve Kalkınma Partisi,law_state,Hukuk Devleti,democratic_reform,1,0,0,1.0,0.0,mixed
term_24_speech_000066,20993,2011-07-11,2011,7,Recep Tayyip Erdoğan,Adalet ve Kalkınma Partisi,democracy,Demokrasi,democratic_reform,1,0,0,1.0,0.0,mixed
term_24_speech_000066,20993,2011-07-11,2011,7,Recep Tayyip Erdoğan,Adalet ve Kalkınma Partisi,law_state,Hukuk Devleti,democratic_reform,2,0,0,2.0,0.0,mixed
term_24_speech_000067,20993,2011-07-11,2011,7,Recep Tayyip Erdoğan,Adalet ve Kalkınma Partisi,constitution,Anayasa,constitutional_conflict,1,0,0,1.0,0.0,mixed
term_24_speech_000075,20993,2011-07-11,2011,7,Recep Tayyip Erdoğan,Adalet ve Kalkınma Partisi,security,Guvenlik,security_conflict,1,0,0,1.0,0.0,mixed
term_24_speech_000079,20993,2011-07-11,2011,7,Recep Tayyip Erdoğan,Adalet ve Kalkınma Partisi,law_state,Hukuk Devleti,democratic_reform,8,1,6,10.45,-0.625,negative
term_24_speech_000079,20993,2011-07-11,2011,7,Recep Tayyip Erdoğan,Adalet ve Kalkınma Partisi,constitution,Anayasa,constitutional_conflict,1,0,0,1.0,0.0,mixed
term_24_speech_000080,20993,2011-07-11,2011,7,Recep Tayyip Erdoğan,Adalet ve Kalkınma Partisi,law_state,Hukuk Devleti,democratic_reform,3,0,0,3.0,0.0,mixed
term_24_speech_000080,20993,2011-07-11,2011,7,Recep Tayyip Erdoğan,Adalet ve Kalkınma Partisi,constitution,Anayasa,constitutional_conflict,2,0,0,2.0,0.0,mixed
term_24_speech_000082,20997,2011-07-14,2011,7,Akif Hamzaçebi,Cumhuriyet Halk Partisi,democracy,Demokrasi,democratic_reform,5,4,3,7.45,0.125,mixed
term_24_speech_000082,20997,2011-07-14,2011,7,Akif Hamzaçebi,Cumhuriyet Halk Partisi,law_state,Hukuk Devleti,democratic_reform,1,2,1,2.05,0.25,positive
term_24_speech_000082,20997,2011-07-14,2011,7,Akif Hamzaçebi,Cumhuriyet Halk Partisi,economy,Ekonomi,macro_economy,7,1,1,7.7,0.0,mixed
term_24_speech_000082,20997,2011-07-14,2011,7,Akif Hamzaçebi,Cumhuriyet Halk Partisi,constitution,Anayasa,constitutional_conflict,6,9,3,10.2,0.4615,positive
term_24_speech_000085,20997,2011-07-14,2011,7,Haluk Koç,Cumhuriyet Halk Partisi,democracy,Demokrasi,democratic_reform,1,0,1,1.35,-0.5,negative
term_24_speech_000086,20999,2011-07-15,2011,7,Beşir Atalay,Adalet ve Kalkınma Partisi,democracy,Demokrasi,democratic_reform,14,5,0,15.75,0.8333,positive
term_24_speech_000086,20999,2011-07-15,2011,7,Beşir Atalay,Adalet ve Kalkınma Partisi,law_state,Hukuk Devleti,democratic_reform,3,2,0,3.7,0.6667,positive
term_24_speech_000086,20999,2011-07-15,2011,7,Beşir Atalay,Adalet ve Kalkınma Partisi,economy,Ekonomi,macro_economy,1,2,0,1.7,0.6667,positive
term_24_speech_000086,20999,2011-07-15,2011,7,Beşir Atalay,Adalet ve Kalkınma Partisi,security,Guvenlik,security_conflict,38,10,8,44.3,0.1053,mixed
term_24_speech_000086,20999,2011-07-15,2011,7,Beşir Atalay,Adalet ve Kalkınma Partisi,constitution,Anayasa,constitutional_conflict,1,1,0,1.35,0.5,positive
term_24_speech_000087,20999,2011-07-15,2011,7,Beşir Atalay,Adalet ve Kalkınma Partisi,security,Guvenlik,security_conflict,1,0,0,1.0,0.0,mixed
term_24_speech_000088,20999,2011-07-15,2011,7,Beşir Atalay,Adalet ve Kalkınma Partisi,constitution,Anayasa,constitutional_conflict,1,0,0,1.0,0.0,mixed
term_24_speech_000089,20999,2011-07-15,2011,7,Beşir Atalay,Adalet ve Kalkınma Partisi,sovereignty,Egemenlik,security_conflict,1,1,1,1.7,0.0,mixed
term_24_speech_000098,20999,2011-07-15,2011,7,Özcan Yeniçeri,Milliyetçi Hareket Partisi,security,Guvenlik,security_conflict,1,1,0,1.35,0.5,positive
term_24_speech_000099,20999,2011-07-15,2011,7,Beşir Atalay,Adalet ve Kalkınma Partisi,security,Guvenlik,security_conflict,1,0,0,1.0,0.0,mixed
term_24_speech_000102,20999,2011-07-15,2011,7,Umut Oran,Cumhuriyet Halk Partisi,security,Guvenlik,security_conflict,1,0,0,1.0,0.0,mixed
term_24_speech_000104,20999,2011-07-15,2011,7,Beşir Atalay,Adalet ve Kalkınma Partisi,security,Guvenlik,security_conflict,1,0,0,1.0,0.0,mixed
term_24_speech_000105,20999,2011-07-15,2011,7,Beşir Atalay,Adalet ve Kalkınma Partisi,democracy,Demokrasi,democratic_reform,1,0,0,1.0,0.0,mixed
term_24_speech_000105,20999,2011-07-15,2011,7,Beşir Atalay,Adalet ve Kalkınma Partisi,security,Guvenlik,security_conflict,2,0,0,2.0,0.0,mixed
term_24_speech_000106,20999,2011-07-15,2011,7,Beşir Atalay,Adalet ve Kalkınma Partisi,democracy,Demokrasi,democratic_reform,1,0,1,1.35,-0.5,negative
term_24_speech_000106,20999,2011-07-15,2011,7,Beşir Atalay,Adalet ve Kalkınma Partisi,security,Guvenlik,security_conflict,5,0,2,5.7,-0.6667,negative
term_24_speech_000108,20999,2011-07-15,2011,7,Beşir Atalay,Adalet ve Kalkınma Partisi,security,Guvenlik,security_conflict,2,0,4,3.4,-0.8,negative
term_24_speech_000109,20999,2011-07-15,2011,7,Beşir Atalay,Adalet ve Kalkınma Partisi,security,Guvenlik,security_conflict,1,0,0,1.0,0.0,mixed
term_24_speech_000111,20999,2011-07-15,2011,7,Beşir Atalay,Adalet ve Kalkınma Partisi,security,Guvenlik,security_conflict,1,0,0,1.0,0.0,mixed
term_24_speech_000126,20999,2011-07-15,2011,7,Oktay Vural,Milliyetçi Hareket Partisi,security,Guvenlik,security_conflict,3,0,3,4.05,-0.75,negative
term_24_speech_000127,20999,2011-07-15,2011,7,Oktay Vural,Milliyetçi Hareket Partisi,security,Guvenlik,security_conflict,5,5,4,8.15,0.1,mixed
term_24_speech_000129,20999,2011-07-15,2011,7,Nurettin Canikli,Adalet ve Kalkınma Partisi,law_state,Hukuk Devleti,democratic_reform,1,0,0,1.0,0.0,mixed
term_24_speech_000129,20999,2011-07-15,2011,7,Nurettin Canikli,Adalet ve Kalkınma Partisi,security,Guvenlik,security_conflict,1,0,0,1.0,0.0,mixed
term_24_speech_000134,20999,2011-07-15,2011,7,Beşir Atalay,Adalet ve Kalkınma Partisi,security,Guvenlik,security_conflict,1,0,0,1.0,0.0,mixed
term_24_speech_000138,20999,2011-07-15,2011,7,İzzet Çetin,Cumhuriyet Halk Partisi,european_union,Avrupa Birligi,democratic_reform,1,1,0,1.35,0.5,positive
term_24_speech_000138,20999,2011-07-15,2011,7,İzzet Çetin,Cumhuriyet Halk Partisi,security,Guvenlik,security_conflict,1,0,0,1.0,0.0,mixed
term_24_speech_000140,20999,2011-07-15,2011,7,İzzet Çetin,Cumhuriyet Halk Partisi,democracy,Demokrasi,democratic_reform,2,0,0,2.0,0.0,mixed
term_24_speech_000140,20999,2011-07-15,2011,7,İzzet Çetin,Cumhuriyet Halk Partisi,economy,Ekonomi,macro_economy,3,0,0,3.0,0.0,mixed
term_24_speech_000140,20999,2011-07-15,2011,7,İzzet Çetin,Cumhuriyet Halk Partisi,security,Guvenlik,security_conflict,3,0,1,3.35,-0.5,negative
term_24_speech_000140,20999,2011-07-15,2011,7,İzzet Çetin,Cumhuriyet Halk Partisi,constitution,Anayasa,constitutional_conflict,1,0,0,1.0,0.0,mixed
term_24_speech_000148,20999,2011-07-15,2011,7,Salim Uslu,Adalet ve Kalkınma Partisi,law_state,Hukuk Devleti,democratic_reform,1,2,0,1.7,0.6667,positive
term_24_speech_000148,20999,2011-07-15,2011,7,Salim Uslu,Adalet ve Kalkınma Partisi,economy,Ekonomi,macro_economy,2,2,0,2.7,0.6667,positive
term_24_speech_000148,20999,2011-07-15,2011,7,Salim Uslu,Adalet ve Kalkınma Partisi,constitution,Anayasa,constitutional_conflict,2,0,0,2.0,0.0,mixed
term_24_speech_000164,20999,2011-07-15,2011,7,Ali Rıza Öztürk,Cumhuriyet Halk Partisi,democracy,Demokrasi,democratic_reform,4,2,1,5.05,0.25,positive
term_24_speech_000164,20999,2011-07-15,2011,7,Ali Rıza Öztürk,Cumhuriyet Halk Partisi,law_state,Hukuk Devleti,democratic_reform,2,0,1,2.35,-0.5,negative
term_24_speech_000164,20999,2011-07-15,2011,7,Ali Rıza Öztürk,Cumhuriyet Halk Partisi,constitution,Anayasa,constitutional_conflict,22,3,0,23.05,0.75,positive
term_24_speech_000166,20999,2011-07-15,2011,7,Emin Haluk Ayhan,Milliyetçi Hareket Partisi,security,Guvenlik,security_conflict,1,0,0,1.0,0.0,mixed
term_24_speech_000167,20999,2011-07-15,2011,7,Faruk Çelik,Adalet ve Kalkınma Partisi,law_state,Hukuk Devleti,democratic_reform,1,0,0,1.0,0.0,mixed
term_24_speech_000167,20999,2011-07-15,2011,7,Faruk Çelik,Adalet ve Kalkınma Partisi,security,Guvenlik,security_conflict,4,0,1,4.35,-0.5,negative
term_24_speech_000168,20999,2011-07-15,2011,7,Faruk Çelik,Adalet ve Kalkınma Partisi,security,Guvenlik,security_conflict,1,0,0,1.0,0.0,mixed
term_24_speech_000169,20999,2011-07-15,2011,7,Faruk Çelik,Adalet ve Kalkınma Partisi,security,Guvenlik,security_conflict,1,0,0,1.0,0.0,mixed
term_24_speech_000171,20999,2011-07-15,2011,7,Faruk Çelik,Adalet ve Kalkınma Partisi,security,Guvenlik,security_conflict,1,0,0,1.0,0.0,mixed
term_24_speech_000175,20999,2011-07-15,2011,7,Faruk Çelik,Adalet ve Kalkınma Partisi,democracy,Demokrasi,democratic_reform,3,0,0,3.0,0.0,mixed
term_24_speech_000184,20999,2011-07-15,2011,7,Faruk Çelik,Adalet ve Kalkınma Partisi,security,Guvenlik,security_conflict,2,4,0,3.4,0.8,positive
term_24_speech_000185,20999,2011-07-15,2011,7,Faruk Çelik,Adalet ve Kalkınma Partisi,european_union,Avrupa Birligi,democratic_reform,1,0,0,1.0,0.0,mixed
term_24_speech_000185,20999,2011-07-15,2011,7,Faruk Çelik,Adalet ve Kalkınma Partisi,security,Guvenlik,security_conflict,1,0,0,1.0,0.0,mixed
term_24_speech_000186,20999,2011-07-15,2011,7,Faruk Çelik,Adalet ve Kalkınma Partisi,security,Guvenlik,security_conflict,1,0,0,1.0,0.0,mixed
term_24_speech_000188,20999,2011-07-15,2011,7,Aykut Erdoğdu,Cumhuriyet Halk Partisi,security,Guvenlik,security_conflict,1,0,0,1.0,0.0,mixed
term_24_speech_000191,20999,2011-07-15,2011,7,Faruk Çelik,Adalet ve Kalkınma Partisi,security,Guvenlik,security_conflict,1,0,0,1.0,0.0,mixed
term_24_speech_000192,20999,2011-07-15,2011,7,İzzet Çetin,Cumhuriyet Halk Partisi,security,Guvenlik,security_conflict,1,0,0,1.0,0.0,mixed
