candidate_id,manual_label,manual_notes,window_text,source_party,target_party,date,year,speaker,heuristic_positive_hits,heuristic_negative_hits,heuristic_score,heuristic_label,heuristic_label_binary,ann_kisi1,ann_kisi2,ann_kisi3,ann_kisi4,ann_kisi5,final_label,is_human_verified
cand_13374,negative,,eymis ve bu politikalardan ibaretmis gibi tenkit etmek kolaydir fakat hukumet olunca gecici butce hazirlamak noktasinda chp nin bir sansi olsaydi yine chp de ayni sekilde bir butceyle karsimiza gelecekti. o bakimdan chp grubundan ortaya cikan ,Adalet ve Kalkınma Partisi,Cumhuriyet Halk Partisi,2002-12-01,2002,Ömer Abuşoğlu,0,1,-0.5,negative,negative,negative,,,,,negative,True
cand_13378,negative,, sayin maliye bakani belki bu elestirilerimize cevap verecek. ben bu noktada net cevap istiyorum. sozculerinin agzindan akp oyle anliyorum ki imf programini reddetmektedir imf programina uymayacagini soylemektedir bunu resmi agizlarin da soyle,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,2002-12-01,2002,Mustafa Özyürek,0,1,-0.5,negative,negative,negative,,,,,negative,True
cand_13305,positive,,ilelim diye istiyorum. simdi degerli arkadaslarim 3 kasimdan beri toplumda bir bahar havasi cumhuriyet halk partisi ile iktidar partisi arasinda uzlasma dayanisma havasi var bunlarin hepsi guzel biz de buna destek veriyoruz. daha gecen gun burada ,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,2002-12-01,2002,Mustafa Özyürek,1,0,0.5,positive,positive,positive,,,,,positive,True
cand_13306,mixed,,bir kayitdisilik var turkiye de buyuk bir vergi kayip ve kacagi var bunlarla mucadele edelim. o gun -zannediyorum sayin mesut yilmaz basbakan idi sayin zekeriya temizel maliye bakani idi- onemli bir muhalefet de olmadan kanun cikmisti ve demokratik kit,Cumhuriyet Halk Partisi,Anavatan Partisi,2002-12-01,2002,Mustafa Özyürek,1,0,0.5,positive,positive,mixed,,,,,mixed,True
cand_13314,mixed,,ak zorundadir sistem onu saglamak zorundadir. anayasamizda da vardir herkes mali gucune gore vergi odemekle yukumludur. hukumet programinda da var. vergi reformunun cikis noktasi vergi adaleti olacaktir. simdi tasariya bakiyoruz kayitdisini onleme,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,2002-12-01,2002,Akif Hamzaçebi,1,0,0.5,positive,positive,mixed,,,,,mixed,True
cand_13321,mixed,,lan rakam 607 milyar liradir. yani biz burada herkesin anlayabilecegi bicimiyle sunu saglamaya calisiyoruz daha dogrusu hukumet sunu talep ediyor bizlerden 607 milyar liralik devlet tahvili ve hazine bonosu geliri elde edenlerin bu gelirlerinin ta,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,2002-12-01,2002,Ali Kemal Kumkumoğlu,1,0,0.5,positive,positive,mixed,,,,,mixed,True
cand_13361,positive,,tayim. hepinizi sevgi ve saygilarimla selamliyorum. adalet ve kalkinma partisine ait gerek secim beyannamesinde gerekse hukumet programinda gorulecegi gibi tarim ve hayvanciligin acilen desteklenmesi gerektigi belirtilmektedir. arz acigi olan yagl,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,2002-12-01,2002,Ali Kemal Deveciler,1,0,0.5,positive,positive,positive,,,,,positive,True
cand_13379,negative,,an siz o eski hukumetin bakani degil miydiniz demedik. erkan mumcu kimin bakaniydi degerli arkadaslarim siz burada eski hukumet doneminde gorev yapmis olan bakanlari icinizde bulunduracaksiniz siz eski hukumeti destekleyen milletvekillerini tekrar,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,2002-12-01,2002,Mustafa Özyürek,1,0,0.5,positive,positive,negative,,,,,negative,True
cand_13398,mixed,,chp mecliste olsaydi o vekiller de su anda orada oturuyor olacakti.,Adalet ve Kalkınma Partisi,Cumhuriyet Halk Partisi,2003-01-01,2003,Resul Tosun,0,0,0.0,mixed,negative,mixed,,,,,mixed,True
cand_14469,mixed,,turkiye de siyaset sahnesi degisti partiler aktorler hepsi birden degisti eski siyaset iyi olsaydi bu sahne degismezdi. cumhuriyet halk partisi ve ak parti siyaset yapma tarzini anlayisini yeniden ele alacagini ve yeni bir anlayisla hareket edecegini kamuoyuna he,Adalet ve Kalkınma Partisi,Cumhuriyet Halk Partisi,2003-04-01,2003,Nihat Ergün,0,0,0.0,mixed,negative,mixed,,,,,mixed,True
cand_14638,mixed,,efendim hukumet olarak siz veya meclis olarak bizler sali gunu -iki gun once- 56 46 ile hazineyi borclandirdik. ayni faizi uygulayalim ,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,2003-04-01,2003,Ensar Öğüt,0,0,0.0,mixed,negative,mixed,,,,,mixed,True
cand_15049,negative,,emekli edilen bircok calisan su anda idari yargiya gitmek zorunda. bir hukumet yasalara saygili oldugunu ifade eden bir hukumet evet anayasa mahkemesi bunu bozmustur o zaman bu sekilde emekli edilenler yargiya basvurmaksizin gorevlerine donebilirl,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,2003-05-01,2003,Haluk Koç,0,0,0.0,mixed,negative,negative,,,,,negative,True
cand_01011,negative,,rla kiyaslanmayacak olcude buyuk ve agir bir vergi seferberligine girismis oldugunu dikkatlerinize sunuyorum. gercekten akp iktidarinin birinci yilinda -bagislayiniz beni sanki deli dumrul ornegi bir uygulama turkiye de egemen kilinmak isteniy,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,2003-12-23,2003,Enis Tütüncü,0,0,0.0,mixed,negative,negative,,,,,negative,True
cand_01064,negative,,iyye olsa gerek. simdi dokunulmazliklari kaldirin diyoruz kaldirmayiz yargiya guvenimiz yok diyorsunuz. sayin basbakana erdogan a soruyorum kendi partisine bile genel baskanligi hukuken tartismali iken o gunleri sona erdiren ve karari veren yargi ,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,2003-12-24,2003,Berhan Şimşek,0,0,0.0,mixed,negative,negative,,,,,negative,True
cand_14880,negative,,syonlari tasarida getirilmek istenilen degisikliklere karsi olduklarini belirtmektedirler. sayin milletvekilleri 57 nci hukumet doneminde hazirligi baslatilan ve tasari haline getirilen is yasasi 15 mart 2003 te yururluge girecekken 30 hazirana er,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,2003-05-01,2003,Nejat Gencan,0,1,-0.5,negative,negative,negative,,,,,negative,True
cand_14982,negative,, bilebilecek durumdayim. biraz once ciktigimda hur tesebbuse serbest tesebbuse yol acacak olan her girisime karsi cikan chp li bazi arkadaslarimizin bu tavrinin artik bugun cagdas dunyada yerinin olmadigini ifade ettim ve ozel tesebbusun kurmu,Adalet ve Kalkınma Partisi,Cumhuriyet Halk Partisi,2003-05-01,2003,Mehmet Ali Şahin,0,1,-0.5,negative,negative,negative,,,,,negative,True
cand_00220,negative,,killeri tasarinin 15 inci maddesiyle ilgili olarak grubum adina soz almis bulunuyorum yuce meclisi saygiyla selamlarim. hukumet goreve basladigi ilk gunden beri 1 ocak 2003 tarihinde yururluge giren 4734 sayili kamu ihale yasasina karsi olumsuz bi,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,2003-07-01,2003,Berhan Şimşek,0,1,-0.5,negative,negative,negative,,,,,negative,True
cand_15468,negative,,oldugunun ne denli hakli oldugunun bir onemli kaniti olmustur ancak ne yazik ki anayasa mahkemesinin bu kararina karsin akp hukumeti attigi yanlis adimla ulke ekonomisine ulkenin sosyal yapisina zarar vermekten baska hicbir etkisi olmayacak bu,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,2003-07-01,2003,Mehmet Tomanbay,1,3,-0.4,negative,negative,negative,,,,,negative,True
cand_00769,negative,,zilari hukuksal ve bilimsel gerekcelerle sayin cumhurbaskanliginca tekrar gorusulmek uzere geri gonderildiginden siyasi iktidar hukuk tanimaz bir sekilde yanlisinda israr etmis cogunlukla yasalari aynen kabul ederek geri gondermistir. hatta cumhur,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,2003-12-18,2003,Halil Ünlütepe,0,1,-0.5,negative,negative,negative,,,,,negative,True
cand_00997,negative,, arkadaslar konumuz vergiler. vergi ekonomi ile politikanin kesistigi yerdir ve kamu hizmetlerinin parasal dayanagidir. hukumet son yillarda genelde imf ve dunya bankasinin katkilariyla bir yanlis uygulamaya bir yanlis akintiya kendini kaptirmis g,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,2003-12-23,2003,Yakup Kepenek,0,2,-0.6667,negative,negative,negative,,,,,negative,True
cand_13797,negative,,sayin baskan zapta gecsin komisyon ve hukumet katildigi onergeye oylamada katilmamaktadir. lutfen zapta gecsin bu bir takiyyedir baskan bunlar zapta gecsin. bu bir t,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,2003-03-01,2003,Oğuz Oyan,2,0,0.6667,positive,positive,negative,,,,,negative,True
cand_14132,mixed,,ve gerekse yatirim oranlarindaki dususu ulkemizin gelecegi icin son derece onemli tehlikeleri akla getirmektedir. simdi iktidar partisi ve onun hukumetinin acil eylem planinin milli egitim bakanligiyla ilgili olan bolumune goz atalim. basliklar ar,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,2003-03-01,2003,Nurettin Sözen,2,0,0.6667,positive,positive,mixed,,,,,mixed,True
cand_15093,positive,,imiz iscilerimizin avrupa normlarina uygun surekli is sahibi oldugu sendikali bir is hayatina kavusmalarini saglamaktir cumhuriyet halk partisi olarak tum mucadelemiz bunu gerceklestirmektir. degerli arkadaslar getirdiginiz bu tasari ve sergilediginiz sozde demok,Anavatan Partisi,Cumhuriyet Halk Partisi,2003-05-01,2003,Hüseyin Güler,1,0,0.5,positive,positive,positive,,,,,positive,True
cand_00470,negative,,menin olmazsa olmaz kosullarindan birinin idari ve mali ozerklikle saglanabilen bilimsel ozgurluk oldugu bilinmektedir. akp hukumeti ise kendi istedigi kisileri atayarak bilim kurulu ve baskan araciligiyla bu ozerkligi istedigi gibi degistirme,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,2003-11-12,2003,Hüseyin Ekmekcioğlu,1,0,0.5,positive,positive,negative,,,,,negative,True
cand_00633,positive,,a yilbasindan once cozumlensin diye dusunen cumhuriyet halk partisi 48 saatlik bekleme suresinden once meclis gundemine adalet ve kalkinma partisi tarafindan getirilen bu tasariyi memnuniyetle kabul etti cunku imarzedelerin sorununun bir an evvel cozumlenmesini isti,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,2003-12-11,2003,Kemal Anadol,2,1,0.25,positive,positive,positive,,,,,positive,True
cand_00728,negative,,mek istiyorum. evet enflasyon dusuyor. dogal olarak enflasyondaki bu dusus surecinin basarisiyla akp iktidari ovunuyor. akp iktidari tabii ki ovunuyor ovunuyor ama enflasyonun dususu henuz butcelere yansimadi carsiya pazara yansimadi evde kayn,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,2003-12-17,2003,Enis Tütüncü,1,0,0.5,positive,positive,negative,,,,,negative,True
cand_01098,negative,,u duzce illeridir. golcuk depremin merkez ussudur. bunu seye almiyorum. basta bayindirlik bakaninin partisi olan mhp li anap li ve dsp li belediyeler afetten hic etkilenmeseler bile her ay paylarini 5 kati partizanca almislardir. bu bir yerde d,Cumhuriyet Halk Partisi,Anavatan Partisi,2004-01-06,2004,Salih Gün,0,0,0.0,mixed,negative,negative,,,,,negative,True
cand_01240,positive,,pmayi istedigimizi ne yapacagimizi ve sonunda ne icin ugrasacagimizi genis bir sekilde detayli bir sekilde anlatmistir. dogru yol partisi de -kendilerine tesekkur ediyorum- ne yapiliyor diye bizden bir brifing talebinde bulunmustur ayni sekilde genel baskan,Adalet ve Kalkınma Partisi,Doğru Yol Partisi,2004-02-17,2004,Abdullah Gül,0,0,0.0,mixed,negative,positive,,,,,positive,True
cand_01591,negative,,azgecerek teftis kurullari kapatilmakta sayistay denetimi ise disdenetim icin yeterli yapilanma icinde bulunmamaktadir. hukumet bu duzenlemeyle -eklemeyi dusundugu kamu personeli yerel yonetimler imar ve gelirlerle ilgili duzenlemelerle- birlikte ,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,2004-02-28,2004,Hüseyin Ekmekcioğlu,0,0,0.0,mixed,negative,negative,,,,,negative,True
cand_02129,negative,, bazi kanallarda nedense hukumeti elestiren programlarin birer birer kaldirildigini goruyoruz. bu eminim ki cok degerli adalet ve kalkinma partisi uyesi milletvekillerinin de dikkatini cekmistir. televizyonlarda uzun zamandan beri izlediginiz ve halkin da begenisini,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,2004-06-16,2004,Onur Öymen,0,0,0.0,mixed,negative,negative,,,,,negative,True
cand_02467,negative,,kadrolara atanacaklar benzer gorevleri yapacaklari halde adi degistirilen ve bu nedenle yeni ihdas edilen kadrolara ise hukumet tarafindan veya hukumetin atadigi ust yoneticiler tarafindan yeni atamalar gerceklestirilecektir. teskilat yasalarinda ,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,2004-07-15,2004,Haluk Koç,0,0,0.0,mixed,negative,negative,,,,,negative,True
cand_02564,negative,,iyor. ak parti iktidarinda boyle bir sey olabilir mi son donemki haliyle -buranin altini ciziyorum son donemki haliyle- anap lasiyor veya mhp lilesiyor muyuz diye soruyor. anap lasiyor veya mhp lilesiyor muyuz diye soruyor sayin nevzat yalcinta,Doğru Yol Partisi,Anavatan Partisi,2004-09-14,2004,Ümmet Kandoğan,0,0,0.0,mixed,negative,negative,,,,,negative,True
cand_01152,negative,,uduru nasil bakacak basinin caresine mecburen dernek kuracak. okulun badana ve boyasini yapacak bir parayi eger merkezi hukumet gondermiyorsa bu adamcagiz nasil goturecek bu isi simdi pek cok okulda yakit sorunu var. yakit sorununu nasil cozecek s,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,2004-01-22,2004,Kemal Kılıçdaroğlu,0,2,-0.6667,negative,negative,negative,,,,,negative,True
cand_01589,negative,,a gerek duymadiginiz -saniyorum yarin bu konuda bir calisma olacak- emek tabanli sivil toplum kuruluslarinin itirazlari akp nin uluslararasi baskilari da arkasina alarak omer dincer in makalesinde acikca ortaya koydugu niyetlerini yani yerelle,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,2004-02-28,2004,Ali Arslan,0,1,-0.5,negative,negative,negative,,,,,negative,True
cand_02345,negative,,an idari vesayetin yerel yonetimlerin hangi islemleri uzerinde olacagi ve bunun yogunlugu yasalarda belirlenmemektedir. akp iktidari bu yasa tasarisiyla belediyelere daha fazla ozerklik tanimayi ve idari vesayeti azaltmayi amacladigini aciklam,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,2004-07-07,2004,Kemal Demirel,0,2,-0.6667,negative,negative,negative,,,,,negative,True
cand_02593,negative,,mudahaleler kamuoyunun gozu onunde adeta naklen yayinlanirken canli ve naklen yayinlanirken hukumet ne yapiyordu siyasi iktidar ne yapiyordu .. sayin basbakan ve hukumet sozcusu sayin adalet bakaninin ifadelerine gore -ki ayni ifadeyi biraz evvel ,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,2004-09-15,2004,Atilla Kart,0,1,-0.5,negative,negative,negative,,,,,negative,True
cand_02807,positive,,cekmisti o gun. degerli arkadaslarim iste cumhuriyet halk partisi grubunun tam destegi ve bu konusmaya kulak veren kimi akp li milletvekillerimizin sayesinde turkiye bu batakliga girmedi bu manzaralarla karsilasmadi ve turkiye bu suca ortak ol,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,2004-11-25,2004,Vahdet Sinan Yerlikaya,0,1,-0.5,negative,negative,positive,,,,,positive,True
cand_03159,negative,,l toplumun depolitizasyonu icin duzenlenmistir kanaatindeyim. bu kadar iddiali bir soz soyluyorum. sayin bakanimiz veya adalet ve kalkinma partisi sozculeri cikip diyebilir ki siz spora karsi misiniz hayir sporun icinden gelen bir insanim ama bu maddelerin konulus a,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,2004-12-22,2004,Yüksel Çorbacıoğlu,0,1,-0.5,negative,negative,negative,,,,,negative,True
cand_01102,mixed,,a alinan paralarin geri odenmedigi bir alan haline maalesef donusmustur. kamu bankalariyla ilgili olarak da daha onceki hukumet doneminde ciddi duzenlemeler yapilmistir. bagimsiz bir kurum olusturulmustur. batan bankalardaki paralarin ve kamu bank,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,2004-01-06,2004,Kemal Kılıçdaroğlu,1,0,0.5,positive,positive,mixed,,,,,mixed,True
cand_01184,negative,,u ulkeye yapilacak en buyuk kotuluklerden biri daha yuzde 10 lara cekilemeyen enflasyonun yeniden tirmanisa gecmesidir. hukumet bunun onune gecmeli ve bu merkez bankasina yonelik bagimsizligina yonelik ikircikli tutumundan kesenkes uzak durmalidir,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,2004-01-28,2004,Yakup Kepenek,1,0,0.5,positive,positive,negative,,,,,negative,True
cand_02193,negative,,oru onergesi verdim vermeye de devam edecegim ancak onemli konularda onemli sorularla dolu onergelerimizin bir bolumune iktidar mensuplarindan yanit dahi alamamaktayiz. denetimin yapilmasi ve dogrularin ortaya cikmasi amaciyla yoneltilen sorulara ,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,2004-06-23,2004,Kemal Sağ,2,0,0.6667,positive,positive,negative,,,,,negative,True
cand_02539,positive,,ikinci yasama yilini bitiriyoruz bu donemde ulusumuz icin ulkemiz icin gercekten saglikli kanunlar cikardik. bu noktada iktidar partisinin getirmis oldugu bircok kanun tasarilarina cumhuriyet halk partisi olarak destek verdik katki verdik muzakere,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,2004-07-16,2004,Yaşar Tüzün,1,0,0.5,positive,positive,positive,,,,,positive,True
cand_02879,negative,,cagini dusunuyorum. bu saatlerde biz sonuc olarak cok onemli bir sektor uzerine goruslerimizi acikliyoruz. bu konularda iktidar partisi milletvekillerinin de goruslerini daha fazla duymak isterdik ama ne yazik ki goruldugu gibi sadece muhalefet ko,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,2004-11-30,2004,Oğuz Oyan,1,0,0.5,positive,positive,negative,,,,,negative,True
cand_02929,positive,,mizin demokratik hukuk devleti alaninda gelismesine onemli katki saglayacagina inandigimi ifade ediyorum. ayrica burada chp adina konusan degerli buyugumuzun ifade ettigi alanda ozgurlukleri kisitlar gibi gorunen alanlardaki degisikliklerin de,Adalet ve Kalkınma Partisi,Cumhuriyet Halk Partisi,2004-12-03,2004,Bekir Bozdağ,2,0,0.6667,positive,positive,positive,,,,,positive,True
cand_03966,negative,,ekilde yasam mucadelesini vermeye devam ediyorlar. dolayisiyla bugune kadarki butun yasal duzenlemeleri inceledigimizde akp nin secim oncesinde halka verdigi sozlerin tam tersine bir davranis icerisinde oldugunu ve giderek rotasini sermayeden ,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,2005-03-10,2005,Enver Öktem,0,0,0.0,mixed,negative,negative,,,,,negative,True
cand_04076,negative,,a... onlara gucunuz yetmiyor degil mi gariban bir isciyi kapinin disina koyacaksiniz... tebrik ederim sizi. ondan sonra ak parti isciden emekliden yana... konuyu bir vicdaniniza sunun degerli arkadaslarim ve bu maddeyi sizden ozellikle rica ediyoru,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,2005-03-16,2005,Bayram Meral,0,0,0.0,mixed,negative,negative,,,,,negative,True
cand_04128,negative,,adaslarim bu kursuden buralarda vurguladigimiz sordugumuz halde dogru durust bir ogretim uyesi yetistirme programini bu hukumet yururluge koyamamistir. simdi yanitinizda bana verdiginiz yanitta bu konuda ogretim uyesi yetistirmekle ilgili tasarila,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,2005-03-22,2005,Yakup Kepenek,0,0,0.0,mixed,negative,negative,,,,,negative,True
cand_06177,negative,,sayin bakanim siz uzaydan gelmediniz siz dyp den geldiniz yillarca iktidar oldunuz niye cozmediniz,Cumhuriyet Halk Partisi,Doğru Yol Partisi,2005-11-30,2005,Hüseyin Ekmekcioğlu,0,0,0.0,mixed,negative,negative,,,,,negative,True
cand_06711,negative,,in baskan. simdi degerli arkadaslarim son olarak asgari ucret belli oldu biliyorsunuz 350 000 000 liralik asgari ucreti hukumet 380 000 000 a... denilebilir ki hukumet degil isverenlerle birlikte onu tespit ediyoruz ama sendikalara iscilere ragmen,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,2005-12-24,2005,Mustafa Özyürek,0,0,0.0,mixed,negative,negative,,,,,negative,True
cand_07043,negative,,rakami vermesini kendisinden ozellikle istirham ediyorum. esnaflarla ilgili olarak... esnaflar kan agliyor. ben buradan adalet ve kalkinma partisi milletvekillerine soruyorum sayin kacir sana da soruyorum. pazar gunu istanbul da esnaf ve sanatkarlar odasinin genel k,Doğru Yol Partisi,Adalet ve Kalkınma Partisi,2005-12-28,2005,Ümmet Kandoğan,0,0,0.0,mixed,negative,negative,,,,,negative,True
cand_05515,positive,,urada hepimizi rencide eden de sahneler yasandi ifadeler kullanildi belki o birikimlerin de etkisiyle maksadi asan veya cumhuriyet halk partisi dine karsiymis gibi bir anlam yuklenen cumleler gercekten hepimizi uzmustur. bunu butun acikkalpliligimle ifade ediyoru,Adalet ve Kalkınma Partisi,Cumhuriyet Halk Partisi,2005-06-29,2005,Faruk Çelik,0,1,-0.5,negative,negative,positive,,,,,positive,True
cand_05837,negative,,larini dilimin dondugu kadar anlattim anlatmaya calistim. gerek iktidar partisinin siz degerli mensuplari gerekse sayin hukumet -ki su anda da hukumet yok- bu sinop ilinin sorunlariyla ilgili maalesef cok duyarli olunamadi. hep soylemisimdir sinop,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,2005-10-26,2005,Engin Altay,0,1,-0.5,negative,negative,negative,,,,,negative,True
cand_06792,negative,,leri elmali da caybogazi baraji ikinci bolumu yarim sekilde beklemektedir. yaklasik 14 000 hektari sulayacak olan tesis akp hukumeti goreve geldiginden bu yana hala bitirilmeyi beklemektedir. manavgat ilcemiz de sorunlar yumagi halindedir. yin,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,2005-12-25,2005,Hüseyin Ekmekcioğlu,0,1,-0.5,negative,negative,negative,,,,,negative,True
cand_07012,negative,,ve sayin baykal bilmiyorum bir hesap yanlisi mi yapiyor biz cumhuriyet tarihinin rekorunu kirdik diyoruz. derslik sinif demek.,Adalet ve Kalkınma Partisi,Cumhuriyet Halk Partisi,2005-12-27,2005,Recep Tayyip Erdoğan,0,1,-0.5,negative,negative,negative,,,,,negative,True
cand_07036,negative,,en bir basbakan cumhuriyet tarihinde gorulmemistir. ne ismet pasa ne menderes ne suleyman demirel hicbir basbakan sayin recep tayyip erdogan in yaptigi mudahaleyi bugun yapmamistir. ve biz sayin adalet ve kalkinma partisi grup baskanvekilleri arkadaslarim bize,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,2005-12-27,2005,Kemal Anadol,0,1,-0.5,negative,negative,negative,,,,,negative,True
