candidate_id,manual_label,manual_notes,transcript_id,date,year,speaker,source_party,target_party,heuristic_positive_hits,heuristic_negative_hits,heuristic_score,heuristic_label,window_text
cand_12625,,,19917,2007-05-16,2007,Kemal Anadol,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,0,1,-0.5,negative,mektedir butun hukuk dunyasi tartismasiz bunu kabul ediyor turkiye de. yuksek yargi organlarinin temsilcilerine sorunuz iktidar partisinin hukukcularina eski bakanimiz sayin cicek e soralim bizim kanaatimiz o yani ciddi... neden kurmak kolay bir b
cand_07449,,,16025,2006-02-07,2006,Mevlüt Coşkuner,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,1,0,0.5,positive,uriyet halk partisi grubunun ve milletvekillerinin verdigi onerge ne kadar dogru olursa olsun ona hayir demek ama sayin akp milletvekilleri verdigi zaman da sayin bakan dusuncesini hemen degistirip evet diyor ve orada komisyon baskani da katil
cand_10754,,,17799,2006-12-15,2006,Tuncay Ercenk,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,1,0,0.5,positive,egisiklik olmadigini bir kere daha tekrar etmek istiyorum. degerli arkadaslar sonuc konusmami yapiyorum. turkiye de bir iktidar ilk defa secime giderken secim butcesi yapmiyor. milletin refahini nazariitibara aliyor. 2007 yili butcesi bir secim bu
cand_06870,,,15725,2005-12-26,2005,Muhsin Koçyiğit,Anavatan Partisi,Adalet ve Kalkınma Partisi,1,0,0.5,positive,rumu vardir adi su ana kadar konulmamistir. gercekten de batik kredi kartlari baslangicta bireysel bazda baslamis ancak hukumet cozum bulmayinca giderek toplumun tum kesimlerini sararak toplumun ruhsal durumunu insanlarin psikolojisini bozmustur. 
cand_11425,,,19840,2007-02-06,2007,İrfan Gündüz,Adalet ve Kalkınma Partisi,Cumhuriyet Halk Partisi,3,0,0.75,positive,izin verdigi iki tane arastirma komisyonu kurulmasiyla ilgili talep teklif. onu biz onumuzdeki sali gunu gorusmek uzere chp nin grup onerisi cikmis biz buna yurekten katiliyoruz boylesine iki onemli konuya bu meclis el atacak gerekli komisyonu
cand_03171,,,13305,2004-12-23,2004,Osman Kaptan,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,1,0,0.5,positive,cekilmesini istemeyecek midir boyle bir gelisme halinde turkiye nin tutumu ne olacaktir her konuda stratejik plan diyen hukumet kibris in savunmamiz icin stratejik onemini onceligini saptamis midir planlamis midir son soru dorduncu soru...
cand_12888,,,19928,2007-05-26,2007,Kemal Kılıçdaroğlu,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,0,1,-0.5,negative,aberi yapmaktan yorgun dustu. dis ve ic sermaye cevrelerinden akp ye nasil bir gaz veriliyor hayret batili buyuklerimiz akp yi iktidarda tutun yoksa sonunuz kotu olur kriz cikar ac ve acikta kalirsiniz diye turk milletini korkutuyor.
cand_03224,,,13325,2004-12-24,2004,Rasim Çakır,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,2,1,0.25,positive,asiyetleri ve ulusal tepkileri her platformda dile getirmis savunmus ve katki saglamaya gayret etmislerdir. simdi sayin hukumet cevre ve orman bakanligi icin cok sinirli bir butcenin onaylanmasi talebiyle karsimiza gelmistir. bize gore boyle bir b
cand_04958,,,14645,2005-05-31,2005,Feridun Ayvazoğlu,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,0,1,-0.5,negative,mli calismayi gosterememekten dolayi bir sikinti yasadigimizi hepimiz kabul etmek zorundayiz. bunlarin sonucunu elbette iktidar ozellikle siyasi iktidar verecektir ve eger gunahi var ise de cekecektir. degerli arkadaslarim simdi gorusmekte oldugum
cand_02717,,,12865,2004-11-09,2004,Niyazi Özcan,Adalet ve Kalkınma Partisi,Cumhuriyet Halk Partisi,0,1,-0.5,negative,baslamadan once yuce heyetinizi saygi ve sevgiyle selamliyorum. hepimizin malumu oldugu uzere gerek ak parti ve gerekse cumhuriyet halk partisi hem secim beyannamelerinde hem de secim meydanlarinda bu millete yolsuzluklarin uzerine gidilecegine dair soz vermisler
cand_15090,,,9565,2003-05-01,2003,Hüseyin Güler,Anavatan Partisi,Adalet ve Kalkınma Partisi,0,2,-0.6667,negative, issizligin buyuk sorun oldugu bir donemde isci kesimine dayatilan bu is kanunu tasarisini kabul etmek mumkun degildir. akp hukumeti isverenle ve sermayeyle kol kola girmis agir sartlar altinda calisan iscilerimizin haklarini sayisal cogunluga
cand_01754,,,11785,2004-05-04,2004,Tuncay Ercenk,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,1,0,0.5,positive,masi dokunulmazligin kaldirilmasiyla mumkun hale gelir ve boyle bir kuruma sayginlik kazandirilmasinda baslica gorev de hukumet uyelerine ve iktidar partisine aittir. biz haziriz. biz her zaman da soyluyoruz dokunulmazliklarin kaldirilmasi gerekli
cand_14459,,,9145,2003-04-01,2003,Faruk Çelik,Adalet ve Kalkınma Partisi,Cumhuriyet Halk Partisi,0,1,-0.5,negative,acagina inananlarin sonlarinin yakin tarihimizde ne oldugunu bir gorun. aslinda butce gorusmelerinde genel baskan sayin deniz baykal in da buradaki ifadeleri maalesef uc asagi bes yukari buna benzer tehditleri iceriyordu.
cand_09182,,,17105,2006-06-14,2006,Ümmet Kandoğan,Doğru Yol Partisi,Cumhuriyet Halk Partisi,2,0,0.6667,positive, gibi gorulmeye baslanmissa esas tehlike o zaman baslamis demektir. simdi bakiniz cok onemli bir konuyu gundeme getirdi cumhuriyet halk partisi grubu ve sayin atilla kart i da tuylerim urpererek dinledim. bu kadar onemli bir konuda cok ciddi iddialar da ortaya ko
cand_11371,,,19836,2007-01-30,2007,Kemalettin Göktaş,Adalet ve Kalkınma Partisi,Cumhuriyet Halk Partisi,1,0,0.5,positive,. turkiye cumhuriyeti devletinin saygin basbakanina yumurta atan bir merasimde cok onemli bir merasimde yumurta atan ve chp li trabzon belediye baskani tarafindan adeta taltif edilerek ise alinan kisiyle ilgili olayi bu onergeye de yazmasini b
cand_09934,,,17465,2006-10-04,2006,Yılmaz Ateş,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,0,2,-0.6667,negative,ldigim habere gore- o mudur o yerinden alinmis bir baska yere surgun edilmis. degerli arkadaslar bu kadar haksizliklara adalet ve kalkinma partisi sayin milletvekillerinin iktidarinin goz yummamasi gerekir diye dusunuyorum. ankara nin bu yasadigi sorunlar karsisinda
cand_07736,,,16185,2006-02-23,2006,Ümmet Kandoğan,Doğru Yol Partisi,Cumhuriyet Halk Partisi,1,0,0.5,positive,ee buyurun biraz sonra gelecek oylamada gorecegiz. 138 milletvekilini adalet ve kalkinma partisi ve cumhuriyet halk partisi olarak su anda meclis salonunda bulunduramiyorsaniz kanunun gecmesi icin asgari oy miktari 138 dir eger bu kadar onemli
cand_07767,,,16205,2006-02-28,2006,Ümmet Kandoğan,Doğru Yol Partisi,Adalet ve Kalkınma Partisi,0,1,-0.5,negative,di bir calisma icerisine gireriz. degerli milletvekilleri ben buradan bircok kez ifade etmistim ama her ifade ettigimde iktidar partisi milletvekilleri itiraz etmislerdi. turkiye deki issizlik rakamlarinin 10 3 ten asagi olmayacagini alti ay once 
cand_11993,,,19880,2007-03-28,2007,Hakkı Ülkü,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,1,0,0.5,positive,e yurtseverligi de surdurmektedir. gonul isterdi ki bizim ulkemizde de bu bilince bu akla ve bu yurtseverlige sahip bir iktidar olsun. sili ayrica en onemli ihrac mali olan bakiri bir devlet kurulusu olan codelco adli sirketle dunyaya pazarlamakta
cand_01251,,,11265,2004-02-17,2004,Onur Öymen,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,0,1,-0.5,negative,lave edecek bir seyim yok. meclis zabitlari vardir. sayin gul diyor ki otuz yildir dogru is yapilmistir. sayin basbakan recep tayyip erdogan da otuz yildir yanlis is yapilmistir diyor. yani otuz yil once bir kere dogru is yapildi demiyor. sayin gul un cok acik
cand_02072,,,12065,2004-06-09,2004,Ümmet Kandoğan,Doğru Yol Partisi,Adalet ve Kalkınma Partisi,0,3,-0.75,negative,ine yuce meclisin alet edilmesi -bunun altini da ciziyorum ve maalesef bu ifadeyi de uzuntuyle kullaniyorum- karsisinda adalet ve kalkinma partisi milletvekillerinin de bu hususa karsi cikacaklari ve bu kanun teklifinin ilgili maddesinin reddedilmesi bu kanun teklif
cand_05154,,,14745,2005-06-09,2005,Kazım Türkmen,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,1,0,0.5,positive,pidir ama asil onemli olan o hukumetin tarimla ilgili bakis acisi kisilere baglanamaz bu bir koordinasyon biciminde bir hukumet programiyla beraber yurutulur. eger tarimla ilgili cok ciddi dusunceleriniz cok ciddi onerileriniz vermis oldugunuz soz
cand_08924,,,16965,2006-05-30,2006,Ali Rıza Bodur,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,0,1,-0.5,negative,anitlayip tekrar yorelerimize o bilgileri tasima konusundaki parlamenter gorevimiz bu tutum nedeniyle engellenmektedir. akp iktidarinin tarima uvey evlat muamelesi yaptigini herkes biliyor. 2004 yilinda gayri safi milli hasilaya 48 4 katrilyon
cand_01668,,,11525,2004-04-06,2004,Mehmet Ağar,Doğru Yol Partisi,Adalet ve Kalkınma Partisi,1,0,0.5,positive,vir koydugu meselede ortaya koydugu dispolitika meselesinde ilk defa ikiye bolunmustur. surecin hicbir onemli doneminde hukumet meclisle bir bilgi paylasmayi one almamistir meclisle paylasmadigi gibi siyasi partilerin hicbirisiyle de bu paylasimi 
cand_09594,,,17265,2006-06-30,2006,İbrahim Özdoğan,Anavatan Partisi,Adalet ve Kalkınma Partisi,0,1,-0.5,negative,tesvik almayan iller hukumeti tehdit ettiler. tesvik alamayan illerde gelecek secimi kazanmanin mumkun olmadigini goren hukumet de tesvik olcusunu degistirdi. bu sefer il sayisinin 36 dan 49 a cikarilmasini sagladi fakat tam bu sirada imf ortaya c
cand_15217,,,9665,2003-05-01,2003,Recep Tayyip Erdoğan,Adalet ve Kalkınma Partisi,Cumhuriyet Halk Partisi,0,1,-0.5,negative,k bunun altina imzalarimizi koyalim ve bunu sadece milletimize degil avrupa ya da boyle duyuralim ama ne yazik ki tabii cumhuriyet halk partisi grubu boyle ortak bir bildiriyle ilgili yapilan teklif uzerine de maalesef imzasini koyamadi. yanlis bilgilere ve kalip
cand_09994,,,17505,2006-10-10,2006,Dursun Akdemir,Anavatan Partisi,Adalet ve Kalkınma Partisi,0,1,-0.5,negative,-bunu vatandas soyluyor ben soylemiyorum- ve cumhuriyetimizin temellerine dozerle girdigi icin. degerli arkadaslar peki hukumet dort yillik icraat donemi sonunda neler yapti nasil bir egitim sistemi var karsimizda daha temel sorular sorarsak egiti
cand_06719,,,15685,2005-12-24,2005,Muhsin Koçyiğit,Anavatan Partisi,Adalet ve Kalkınma Partisi,2,0,0.6667,positive,den bahsetmek istiyorum. tabii ki vergi indiriminin kimlere ya da kime yaradigi onemlidir onemli olan ona bakmak lazim. akp iktidara geldigi zaman ilk is olarak en az gecim indirimini imf nin talimati sonucunda kaldirmistir. hepimizin bildigi 
cand_09661,,,17265,2006-06-30,2006,Kemal Anadol,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,1,0,0.5,positive, bakiyorum tam 15 saat 20 dakikadir bu parlamento calisiyor 15 saat 20 dakika oldu. bu 15 5 saate yakin bir sure icinde iktidar ve muhalefet isbirliginin cok olumlu sonuclari ortaya cikti ulkemiz icin cok yararli yasalar cikardik. bu tabii her kon
cand_03335,,,13405,2004-12-28,2004,Recep Tayyip Erdoğan,Adalet ve Kalkınma Partisi,Cumhuriyet Halk Partisi,0,1,-0.5,negative,rursunuz. burokratik oligarsinin nereden geldigini arastirdigimizda karsimiza ne cikiyor biliyor musunuz 1950 oncesinde cumhuriyet halk partisi il baskanlari ayni zamanda il valiligi yaparlardi isin kokeninde ruhunda o vardir aslinda ve biz bir defa bu ruhu gerid
cand_02994,,,13125,2004-12-08,2004,Hasan Angı,Adalet ve Kalkınma Partisi,Cumhuriyet Halk Partisi,2,0,0.6667,positive,idar ve muhalefet tum meclis birlikte bu calismalari yurutup milletimizin destegiyle istikrari yurutmekte. biraz onceki cumhuriyet halk partisi sozcusu degerli arkadasimizin ifade ettigi bu istikrar ortaminin devami bizlerin yapacagi bu calismalara bagli. bu cali
cand_13323,,,8204,2002-12-01,2002,Abdülkadir Ateş,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,0,1,-0.5,negative,ttirmek uzere oldugunu goruyoruz. evet bugun de artik ekonomiyi duzeltecegiz diye yola cikan halkimizdan oy isteyen bir iktidar bir siyasi parti ayni sekilde vergi yerine yine borclanarak gununugun etmek belki sorunlarimizi bir sure erteleyerek am
cand_13359,,,8245,2002-12-01,2002,Mehmet Sefa Sirmen,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,0,1,-0.5,negative,ilama odenegi olarak ay basina 1 milyar lira demek ki uc aya 3 milyar lira gibi bir odenek konulmus. simdi tabii 57 nci hukumet deprem bolgesindeki yaralarin sarildigini dusunerek o bolgedeki sorunlari unuttu. hatta bayindirlik bakani koray aydin 
